Composition,Conductivity (S/cm),Temperature (degC),PO2 (%),PH2O (%),Grainsize,Ref,Carrier Type
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.067336894,845.8130997,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.046232945,800.8687244,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.03093658,751.0375007,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.020685865,699.9698003,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.012218249,652.1167845,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.006368723,601.1737056,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.003079032,550.1754517,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.001314308,501.2649826,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.128331519,950,1.99661E-20,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.127513321,950,9.35666E-16,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.123499917,950,2.41282E-11,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.125892541,950,0.003051979,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.130817747,950,0.094414068,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.129983698,950,6.706264305,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.129983698,950,93.72492791,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(Nd2O3)0.04(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.300275788,950.3407565,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(Nd2O3)0.04(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.251447377,902.0945505,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(Nd2O3)0.04(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.205208885,847.4946224,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(Nd2O3)0.04(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.134055409,800.1653446,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
